Company,Month,Average_CTC_(LPA),BBS,BCB,BCE,BCI,BCT,BDS,BEC,BEE,BIT,BKT
UBS ,Aug-25,14.5,1,0,9,1,1,1,0,0,3,0
UBS PPO,Jul-25,14.5,0,0,1,0,0,1,0,0,0,0
Uber,Oct-25,,0,0,0,0,0,0,5,0,0,0
ValueCreed,Sep-25,10.0,0,0,5,0,0,0,0,0,0,0
Varroc,Aug-25,12.5,0,0,0,0,0,0,4,1,0,0
Verity ,Oct-25,7.5,0,0,3,0,0,0,1,0,0,1
Verizon,Aug-25,9.0,0,0,20,1,1,2,0,0,2,1
Visa PPO,Aug-25,41.0,0,0,8,0,0,0,0,0,3,0
Visa PPO,Sep-25,33.0,0,0,8,0,0,0,0,0,3,0
Viseton,Sep-25,7.0,0,0,13,4,0,0,2,0,1,0
Volvo,Jul-25,8.0,1,0,2,0,0,0,0,0,0,0
Walmart Internship,Oct-25,6.0,0,0,3,0,0,0,0,0,0,0
Walmart PPO,Sep-25,22.6,0,0,5,0,0,0,0,0,0,0
WatchGuard,Aug-25,10.0,0,0,2,0,0,0,0,0,0,0
Wells Fargo PPO,Jul-25,24.0,2,0,12,4,0,0,0,0,2,0
Western Digital ,Sep-25,15.0,0,0,0,0,1,2,0,0,0,0
Western Digital PPO,Jul-25,20.0,0,0,1,0,0,0,0,0,0,0
WorkDay,Aug-25,23.1,0,0,10,0,0,0,0,0,2,0
Wuerth India ,Oct-25,6.0,0,0,0,0,0,0,0,0,0,0
Xeno,Sep-25,12.0,0,0,0,0,0,0,0,0,1,0
Xflow Payments,Oct-25,30.0,0,0,1,0,0,0,0,0,1,0
ZS Associates ,Aug-25,13.6,4,1,14,1,1,2,3,1,3,0
ZS Associates PPO,Jul-25,13.65,0,1,8,0,0,1,0,0,0,0
Zanskar,Aug-25,21.0,0,1,0,0,0,0,0,0,1,0
Zluri,Sep-25,18.0,0,0,4,0,0,0,0,0,0,0
Zomato,Jul-25,56.0,0,0,1,0,0,0,0,0,0,0
ZoomRx,Oct-25,8.0,0,1,0,0,0,0,0,0,1,0
Zynga,Aug-25,32.0,1,0,3,0,0,0,0,0,1,0
​Warner Bros. Discovery,Sep-25,17.0,0,0,0,0,0,1,0,0,0,0
